City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
51,Almaznyy,RU,2022-01-21 21:25:37,overcast clouds,48.0448,40.045,30.34,96,100,5.77
52,Palembang,ID,2022-01-21 21:25:37,scattered clouds,-2.9167,104.7458,77.09,94,40,0.0
53,Yanam,IN,2022-01-21 21:25:37,few clouds,16.7333,82.2167,67.08,97,12,3.94
54,Carballo,ES,2022-01-21 21:23:56,clear sky,43.213,-8.691,48.0,66,0,9.4
55,Coihaique,CL,2022-01-21 21:22:54,broken clouds,-45.5752,-72.0662,62.55,51,75,6.91
56,Gat,IL,2022-01-21 21:23:05,broken clouds,31.61,34.7642,51.4,64,74,1.5
57,Hobart,AU,2022-01-21 21:22:44,few clouds,-42.8794,147.3294,68.11,84,20,1.01
58,Malanje,AO,2022-01-21 21:25:38,broken clouds,-9.5402,16.341,62.28,79,80,2.75
59,Iqaluit,CA,2022-01-21 21:25:38,broken clouds,63.7506,-68.5145,-24.07,76,75,2.3
60,Tasiilaq,GL,2022-01-21 21:25:38,broken clouds,65.6145,-37.6368,15.96,62,82,8.41
61,Shorkot,PK,2022-01-21 21:25:38,overcast clouds,31.9099,70.8774,52.66,88,100,10.13
62,Boden,SE,2022-01-21 21:25:39,scattered clouds,65.8252,21.6886,12.2,93,44,2.86
63,Punta Arenas,CL,2022-01-21 21:25:39,broken clouds,-53.15,-70.9167,68.11,34,75,25.32
64,Havelock,US,2022-01-21 21:25:39,mist,34.8791,-76.9013,31.98,93,100,4.0
65,Upernavik,GL,2022-01-21 21:25:39,overcast clouds,72.7868,-56.1549,-2.27,91,100,2.91
66,San Patricio,US,2022-01-21 21:25:40,broken clouds,28.017,-97.5169,54.16,35,79,9.46
67,Kapaa,US,2022-01-21 21:25:40,clear sky,22.0752,-159.319,81.48,67,0,3.0
68,Jalu,LY,2022-01-21 21:25:40,clear sky,29.0331,21.5482,52.52,47,8,3.2
69,Torbay,CA,2022-01-21 21:25:40,light snow,47.6666,-52.7314,26.76,89,100,6.91
70,Te Anau,NZ,2022-01-21 21:25:41,few clouds,-45.4167,167.7167,60.94,67,24,0.49
71,Rosia,RO,2022-01-21 21:25:41,scattered clouds,45.8167,24.3167,25.09,63,40,17.27
72,Fort Saint James,CA,2022-01-21 21:25:41,overcast clouds,54.4333,-124.25,34.07,95,100,2.64
73,Saint-Augustin,CA,2022-01-21 21:25:41,clear sky,51.226,-58.6502,-12.93,90,6,3.4
74,Rawson,AR,2022-01-21 21:20:53,clear sky,-43.3002,-65.1023,80.31,26,0,17.11
75,Puerto Escondido,MX,2022-01-21 21:25:42,few clouds,15.85,-97.0667,83.23,65,20,6.91
76,Aitape,PG,2022-01-21 21:25:42,moderate rain,-3.1374,142.3475,77.23,93,100,5.32
77,Yulara,AU,2022-01-21 21:25:42,clear sky,-25.2406,130.9889,73.24,94,0,6.91
78,Thompson,CA,2022-01-21 21:25:43,overcast clouds,55.7435,-97.8558,-3.84,71,100,20.71
79,Manyana,BW,2022-01-21 21:25:43,few clouds,-23.4,21.7167,76.19,31,23,4.97
80,Barrow,US,2022-01-21 21:21:02,haze,71.2906,-156.7887,-20.18,69,20,11.5
81,Bengkulu,ID,2022-01-21 21:25:43,light rain,-3.8004,102.2655,74.5,90,100,4.81
82,Yuci,CN,2022-01-21 21:25:43,mist,37.6803,112.7319,26.35,86,40,2.24
83,Busselton,AU,2022-01-21 21:25:44,broken clouds,-33.65,115.3333,73.04,44,54,10.25
84,Mayumba,GA,2022-01-21 21:25:44,overcast clouds,-3.432,10.6554,77.54,92,98,9.4
85,Damavand,IR,2022-01-21 21:25:44,clear sky,35.7178,52.065,19.24,36,0,7.65
86,East London,ZA,2022-01-21 21:22:46,clear sky,-33.0153,27.9116,74.59,84,7,11.61
87,Kaitangata,NZ,2022-01-21 21:25:44,few clouds,-46.2817,169.8464,60.93,60,14,9.55
88,Araouane,ML,2022-01-21 21:25:45,scattered clouds,18.9048,-3.5265,65.17,15,37,10.63
89,Kampene,CD,2022-01-21 21:25:45,overcast clouds,-3.6,26.6667,68.85,96,100,2.01
90,Cobija,BO,2022-01-21 21:25:45,thunderstorm,-11.0267,-68.7692,82.58,74,75,13.8
91,Sola,VU,2022-01-21 21:25:45,broken clouds,-13.8833,167.55,83.07,84,75,0.0
92,Airai,TL,2022-01-21 21:26:16,overcast clouds,-8.9266,125.4092,59.85,92,98,2.64
93,Cidreira,BR,2022-01-21 21:26:16,clear sky,-30.1811,-50.2056,78.8,84,0,19.17
94,Bathsheba,BB,2022-01-21 21:26:16,scattered clouds,13.2167,-59.5167,81.21,61,40,24.16
95,Tual,ID,2022-01-21 21:26:16,overcast clouds,-5.6667,132.75,82.38,81,99,18.79
96,Kribi,CM,2022-01-21 21:26:17,overcast clouds,2.95,9.9167,80.13,84,97,6.08
97,Voznesenye,RU,2022-01-21 21:26:17,overcast clouds,61.0106,35.4781,19.44,97,100,5.17
98,Sharan,RU,2022-01-21 21:26:17,broken clouds,54.8167,54.0,-0.22,100,61,4.74
99,Dikson,RU,2022-01-21 21:26:17,overcast clouds,73.5069,80.5464,13.95,95,100,9.86
100,Chunskiy,RU,2022-01-21 21:26:18,overcast clouds,56.0815,99.6342,-8.3,100,100,1.28
101,Mao,ES,2022-01-21 21:26:18,scattered clouds,39.8885,4.2658,45.16,76,40,9.22
102,Kastamonu,TR,2022-01-21 21:22:26,light snow,41.5,33.6667,26.38,93,75,3.24
103,Porto Novo,BJ,2022-01-21 21:26:18,clear sky,6.4965,2.6036,80.42,62,3,6.6
104,Khatanga,RU,2022-01-21 21:26:18,light snow,71.9667,102.5,15.85,93,100,17.92
105,Harper,LR,2022-01-21 21:26:19,clear sky,4.375,-7.7169,78.89,82,1,7.85
106,Adelaide,AU,2022-01-21 21:22:00,light rain,-34.9333,138.6,78.85,56,100,19.57
107,Todos Santos,MX,2022-01-21 21:26:19,scattered clouds,23.45,-110.2167,78.12,65,26,6.22
108,Manaus,BR,2022-01-21 21:22:54,light rain,-3.1019,-60.025,86.5,94,40,2.3
109,Abbeville,FR,2022-01-21 21:24:10,broken clouds,50.1,1.8333,42.76,85,52,4.74
110,Hovd,MN,2022-01-21 21:26:19,overcast clouds,48.0056,91.6419,5.29,94,98,4.36
111,Ende,ID,2022-01-21 21:26:20,overcast clouds,-8.8432,121.6623,77.54,85,100,4.7
112,Kloulklubed,PW,2022-01-21 21:24:13,overcast clouds,7.0419,134.2556,81.12,83,100,19.86
113,Navolato,MX,2022-01-21 21:26:20,clear sky,24.7672,-107.6944,82.63,22,0,10.47
114,Bredasdorp,ZA,2022-01-21 21:26:20,broken clouds,-34.5322,20.0403,72.28,83,68,14.97
115,Skibbereen,IE,2022-01-21 21:26:20,overcast clouds,51.55,-9.2667,44.4,73,94,4.16
116,Maniitsoq,GL,2022-01-21 21:26:21,overcast clouds,65.4167,-52.9,14.65,70,100,9.78
117,Kashi,CN,2022-01-21 21:26:21,clear sky,39.4547,75.9797,24.01,46,0,11.18
118,Ilulissat,GL,2022-01-21 21:26:21,light snow,69.2167,-51.1,8.62,72,100,19.57
119,Norman Wells,CA,2022-01-21 21:26:21,broken clouds,65.282,-126.8329,-30.96,61,75,2.3
120,Helena,US,2022-01-21 21:24:25,scattered clouds,46.5927,-112.0361,40.41,53,40,10.0
121,Zambezi,ZM,2022-01-21 21:26:22,overcast clouds,-13.5432,23.1047,65.53,93,100,4.9
122,Wanning,CN,2022-01-21 21:22:44,overcast clouds,18.8003,110.3967,70.14,91,99,2.26
123,Jamestown,US,2022-01-21 21:25:18,clear sky,42.097,-79.2353,20.52,29,0,5.75
124,Qaanaaq,GL,2022-01-21 21:26:22,overcast clouds,77.484,-69.3632,-3.51,98,100,2.08
125,La Cruz,MX,2022-01-21 21:26:22,clear sky,23.9167,-106.9,74.21,47,0,8.9
126,Padang,ID,2022-01-21 21:26:22,overcast clouds,-0.9492,100.3543,73.45,87,99,4.56
127,Gandevi,IN,2022-01-21 21:26:23,clear sky,20.8167,72.9833,69.76,94,0,6.89
128,Mahebourg,MU,2022-01-21 21:26:23,scattered clouds,-20.4081,57.7,82.69,89,40,18.41
129,Sterling,US,2022-01-21 21:26:23,broken clouds,39.0062,-77.4286,25.68,55,75,1.01
130,Comodoro Rivadavia,AR,2022-01-21 21:26:23,broken clouds,-45.8667,-67.5,82.26,21,75,23.02
131,Guerrero Negro,MX,2022-01-21 21:24:52,clear sky,27.9769,-114.0611,69.24,32,0,12.28
132,Saint Anthony,US,2022-01-21 21:26:24,clear sky,45.0205,-93.218,17.62,52,0,7.0
133,Maku,IR,2022-01-21 21:26:24,scattered clouds,39.2911,44.4521,8.74,76,38,7.25
134,Igrim,RU,2022-01-21 21:26:24,broken clouds,63.1906,64.4162,4.86,97,77,5.06
135,Aberfeldy,GB,2022-01-21 21:26:24,few clouds,56.62,-3.8645,40.03,94,13,5.68
136,Kismayo,SO,2022-01-21 21:26:25,overcast clouds,-0.3582,42.5454,79.0,81,100,16.93
137,Hilo,US,2022-01-21 21:26:55,clear sky,19.7297,-155.09,79.79,73,0,8.05
138,Chicama,PE,2022-01-21 21:26:55,overcast clouds,-7.8447,-79.1469,68.54,63,100,10.58
139,Marawi,PH,2022-01-21 21:26:55,overcast clouds,7.9986,124.2928,65.64,91,92,2.1
140,Saint George,US,2022-01-21 21:24:41,scattered clouds,37.1041,-113.5841,55.44,36,40,3.0
