City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Kem,RU,2022-01-21 21:27:38,overcast clouds,64.9555,34.5793,26.28,93,100,14.72
192,Port Hardy,CA,2022-01-21 21:27:38,overcast clouds,50.6996,-127.4199,42.76,93,100,6.91
193,San Quintin,MX,2022-01-21 21:27:39,clear sky,30.4833,-115.95,65.34,46,0,11.95
194,Sarai Naurang,PK,2022-01-21 21:27:39,overcast clouds,32.8259,70.7814,49.93,87,100,9.26
195,Labuhan,ID,2022-01-21 21:27:39,overcast clouds,-6.8844,112.2051,76.71,89,97,7.14
196,Fare,PF,2022-01-21 21:23:11,moderate rain,-16.7,-151.0167,80.28,75,100,14.29
197,Keetmanshoop,NA,2022-01-21 21:27:39,overcast clouds,-26.5833,18.1333,81.23,47,100,6.26
198,Thinadhoo,MV,2022-01-21 21:27:40,broken clouds,0.5333,72.9333,81.45,71,73,11.72
199,Margate,GB,2022-01-21 21:27:40,clear sky,51.3813,1.3862,40.86,82,9,5.01
200,Kamenka,RU,2022-01-21 21:27:40,overcast clouds,51.3223,42.7678,28.74,87,97,10.6
201,Port Blair,IN,2022-01-21 21:25:08,mist,11.6667,92.75,71.64,94,20,2.3
202,Kruisfontein,ZA,2022-01-21 21:27:41,few clouds,-34.0033,24.7314,73.89,92,11,3.15
203,Ha Tinh,VN,2022-01-21 21:27:41,overcast clouds,18.3333,105.9,64.56,93,88,1.23
204,Odweyne,SO,2022-01-21 21:25:17,clear sky,9.4092,45.064,64.2,61,6,8.93
205,Vostok,RU,2022-01-21 21:27:41,broken clouds,46.4856,135.8833,-19.62,99,71,4.47
206,Yankton,US,2022-01-21 21:27:41,mist,42.8711,-97.3973,26.11,86,100,12.66
207,Faya,SA,2022-01-21 21:27:42,scattered clouds,18.3851,42.4509,53.71,82,48,4.14
208,Klaksvik,FO,2022-01-21 21:27:42,overcast clouds,62.2266,-6.589,47.32,91,100,26.35
209,Hasaki,JP,2022-01-21 21:27:42,clear sky,35.7333,140.8333,27.0,45,1,8.77
210,Sivaki,RU,2022-01-21 21:27:42,clear sky,52.6333,126.75,-17.82,100,5,2.04
211,Kodiak,US,2022-01-21 21:27:43,light rain,57.79,-152.4072,44.11,76,100,28.77
